SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94605,Black or African American,Oakland Technical HS,336,English Only,2.72,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94606,Chinese,Oakland Technical HS,33,Redesignated (RFEP),4.00,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,11,94605,Black or African American,Oakland Technical HS,217,English Only,3.42,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94605,Black or African American,Oakland Technical HS,472,English Only,1.69,Below,2
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94619,Other or Not Specified,Oakland Technical HS,188,English Only,3.50,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94608,Hispanic or Latino,Oakland Technical HS,341,Redesignated (RFEP),2.61,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94601,Hispanic or Latino,Oakland Technical HS,476,English Learner,1.13,Below,2
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94601,Other or Not Specified,Oakland Technical HS,221,English Only,3.44,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94601,Black or African American,Oakland Technical HS,128,English Only,3.75,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94602,Black or African American,Oakland Technical HS,154,Redesignated (RFEP),3.67,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94612,Black or African American,Oakland Technical HS,145,Redesignated (RFEP),3.77,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,12,94610,Other or Not Specified,Oakland Technical HS,375,English Only,2.64,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94610,Other or Not Specified,Oakland Technical HS,231,Redesignated (RFEP),3.28,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94610,Hispanic or Latino,Oakland Technical HS,358,English Only,2.56,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,11,94605,Black or African American,Oakland Technical HS,413,English Only,1.96,Below,2
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,11,94606,Vietnamese,Oakland Technical HS,53,Redesignated (RFEP),4.07,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94602,Chinese,Oakland Technical HS,290,English Only,2.97,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94601,Vietnamese,Oakland Technical HS,16,Redesignated (RFEP),4.10,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94601,Vietnamese,Oakland Technical HS,80,Redesignated (RFEP),4.03,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,12,94612,Black or African American,Oakland Technical HS,197,Redesignated (RFEP),3.56,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94606,Black or African American,Oakland Technical HS,358,English Only,2.58,Above,3
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,11,94618,White (not Hispanic),Oakland Technical HS,340,English Only,2.63,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94606,Chinese,Oakland Technical HS,3,Redesignated (RFEP),4.20,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94607,Chinese,Oakland Technical HS,149,Redesignated (RFEP),3.72,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,12,94609,Hispanic or Latino,Oakland Technical HS,318,English Only,3.10,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,12,94610,Chinese,Oakland Technical HS,172,Redesignated (RFEP),3.71,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94501,Other Asian,Oakland Technical HS,477,Redesignated (RFEP),1.50,Below,2
Inclusion,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94606,White (not Hispanic),Oakland Technical HS,205,English Only,3.42,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94618,Chinese,Oakland Technical HS,107,English Only,3.83,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94601,Hispanic or Latino,Oakland Technical HS,133,Redesignated (RFEP),3.87,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94621,Hispanic or Latino,Oakland Technical HS,498,Redesignated (RFEP),1.00,Below,1
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94603,Hispanic or Latino,Oakland Technical HS,336,Initially Fluent (IFEP),2.61,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94610,Black or African American,Oakland Technical HS,322,English Only,2.86,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94607,Chinese,Oakland Technical HS,122,Redesignated (RFEP),3.78,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94606,Chinese,Oakland Technical HS,107,Redesignated (RFEP),3.88,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,12,94610,Hispanic or Latino,Oakland Technical HS,430,Redesignated (RFEP),2.19,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94619,White (not Hispanic),Oakland Technical HS,107,English Only,3.83,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94618,White (not Hispanic),Oakland Technical HS,165,English Only,3.60,Above,4
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,12,94618,White (not Hispanic),Oakland Technical HS,408,English Only,2.32,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94609,Black or African American,Oakland Technical HS,367,English Only,2.35,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94621,Hispanic or Latino,Oakland Technical HS,321,Redesignated (RFEP),2.72,Above,3
SDC (Special Day Class),Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94621,Hispanic or Latino,Oakland Technical HS,408,English Learner,2.17,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94601,Hispanic or Latino,Oakland Technical HS,494,Initially Fluent (IFEP),1.28,Below,2
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94602,White (not Hispanic),Oakland Technical HS,36,English Only,4.09,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94601,Hispanic or Latino,Oakland Technical HS,200,Initially Fluent (IFEP),3.50,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94601,Black or African American,Oakland Technical HS,370,English Only,2.33,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94609,Hispanic or Latino,Oakland Technical HS,425,English Only,2.12,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94601,Hispanic or Latino,Oakland Technical HS,348,Redesignated (RFEP),2.56,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94611,Black or African American,Oakland Technical HS,434,English Only,2.20,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94601,Black or African American,Oakland Technical HS,451,English Only,2.03,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94612,Hispanic or Latino,Oakland Technical HS,374,Redesignated (RFEP),2.39,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94605,Japanese,Oakland Technical HS,216,English Only,3.56,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94602,White (not Hispanic),Oakland Technical HS,345,English Only,2.72,Above,3
Inclusion,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94621,Vietnamese,Oakland Technical HS,184,Redesignated (RFEP),3.53,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,11,94618,Chinese,Oakland Technical HS,228,English Only,3.30,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94602,Black or African American,Oakland Technical HS,237,English Only,3.46,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94609,Hispanic or Latino,Oakland Technical HS,138,Initially Fluent (IFEP),3.80,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,12,94610,Black or African American,Oakland Technical HS,186,English Only,3.66,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,11,94621,Other Asian,Oakland Technical HS,153,Redesignated (RFEP),3.67,Above,4
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,11,94621,Black or African American,Oakland Technical HS,480,English Only,1.21,Below,2
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94607,Chinese,Oakland Technical HS,193,Redesignated (RFEP),3.61,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94601,Hispanic or Latino,Oakland Technical HS,418,Redesignated (RFEP),2.33,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94608,Asian Indian,Oakland Technical HS,62,Redesignated (RFEP),4.04,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94606,Vietnamese,Oakland Technical HS,77,Initially Fluent (IFEP),3.97,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94607,Vietnamese,Oakland Technical HS,8,Redesignated (RFEP),4.15,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94619,Cambodian,Oakland Technical HS,3,Redesignated (RFEP),4.40,Above,5
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,11,94609,Black or African American,Oakland Technical HS,357,English Only,2.50,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94621,Hispanic or Latino,Oakland Technical HS,98,Redesignated (RFEP),3.89,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94611,Other or Not Specified,Oakland Technical HS,27,English Only,4.28,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94609,Black or African American,Oakland Technical HS,355,English Only,2.56,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94621,Hispanic or Latino,Oakland Technical HS,220,Redesignated (RFEP),3.42,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94606,Black or African American,Oakland Technical HS,54,English Only,4.18,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94618,White (not Hispanic),Oakland Technical HS,123,English Only,3.95,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94618,White (not Hispanic),Oakland Technical HS,17,English Only,4.17,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94618,Hispanic or Latino,Oakland Technical HS,33,English Only,4.00,Above,4
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94601,Black or African American,Oakland Technical HS,302,Redesignated (RFEP),3.03,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94603,Hispanic or Latino,High School Registration,348,Redesignated (RFEP),2.33,Below,3
Other Spec Ed Services,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94605,Black or African American,Oakland Technical HS,237,English Only,3.22,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94619,Black or African American,Oakland Technical HS,147,English Only,3.75,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94610,Chinese,Oakland Technical HS,147,Redesignated (RFEP),3.82,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94565,Black or African American,Oakland Technical HS,316,English Only,3.00,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94611,Other or Not Specified,Oakland Technical HS,237,English Only,3.38,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94607,White (not Hispanic),Oakland Technical HS,439,English Only,1.94,Below,2
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,12,94608,Black or African American,Oakland Technical HS,395,English Only,2.51,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94609,Other or Not Specified,Oakland Technical HS,315,English Only,3.07,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94610,White (not Hispanic),Oakland Technical HS,167,English Only,3.76,Above,4
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94609,Black or African American,Oakland Technical HS,289,English Only,3.15,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94611,White (not Hispanic),Oakland Technical HS,225,Redesignated (RFEP),3.54,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94609,Other Asian,Oakland Technical HS,138,Redesignated (RFEP),3.73,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94606,Vietnamese,Oakland Technical HS,16,Redesignated (RFEP),4.31,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94601,Hispanic or Latino,Oakland Technical HS,511,Redesignated (RFEP),0.67,Below,1
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94603,Hispanic or Latino,Oakland Technical HS,364,Redesignated (RFEP),2.33,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94601,Vietnamese,Oakland Technical HS,177,Redesignated (RFEP),3.65,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94609,White (not Hispanic),Oakland Technical HS,33,English Only,4.00,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94609,Black or African American,Oakland Technical HS,390,English Only,2.22,Below,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94602,White (not Hispanic),Oakland Technical HS,147,English Only,3.82,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94608,Black or African American,Oakland Technical HS,269,English Only,3.06,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94610,Black or African American,Oakland Technical HS,471,English Only,1.56,Below,2
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,10,94608,Black or African American,Oakland Technical HS,446,English Only,1.94,Below,2
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94611,White (not Hispanic),Oakland Technical HS,302,English Only,2.94,Above,3
SDC (Special Day Class),Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94619,Chinese,Oakland Technical HS,98,English Only,3.83,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94607,Chinese,Oakland Technical HS,32,Redesignated (RFEP),4.12,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,M,10,94610,Chinese,Oakland Technical HS,273,Redesignated (RFEP),3.00,Above,3
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94607,Chinese,Oakland Technical HS,38,Redesignated (RFEP),4.10,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,12,94607,Chinese,Oakland Technical HS,130,Redesignated (RFEP),3.91,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy,Oakland Tech - Health Academy,Not applicable,Oakland Tech - Health Academy,Not applicable,F,11,94612,Chinese,Oakland Technical HS,105,Redesignated (RFEP),3.89,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94609,White (not Hispanic),Oakland Technical HS,30,Redesignated (RFEP),4.27,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,M,12,94611,Other or Not Specified,Oakland Technical HS,205,English Only,3.53,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94618,Asian Indian,Oakland Technical HS,127,English Only,3.91,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94618,White (not Hispanic),Oakland Technical HS,50,English Only,4.20,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,M,12,94606,Chinese,Oakland Technical HS,100,Redesignated (RFEP),4.05,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94606,Black or African American,Oakland Technical HS,86,English Only,4.10,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94602,Other or Not Specified,Oakland Technical HS,155,English Only,3.79,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,M,11,94610,White (not Hispanic),Oakland Technical HS,171,English Only,3.60,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94611,White (not Hispanic),Oakland Technical HS,138,English Only,3.85,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94611,Other or Not Specified,Oakland Technical HS,47,English Only,4.21,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94602,Other Asian,Oakland Technical HS,11,Redesignated (RFEP),4.38,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94618,White (not Hispanic),Oakland Technical HS,56,English Only,4.18,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94611,White (not Hispanic),Oakland Technical HS,155,English Only,3.82,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,M,12,94609,Other or Not Specified,Oakland Technical HS,56,English Only,4.18,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94611,White (not Hispanic),Oakland Technical HS,70,English Only,4.15,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94611,White (not Hispanic),Oakland Technical HS,24,English Only,4.29,Above,5
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94610,White (not Hispanic),Oakland Technical HS,119,English Only,3.97,Above,4
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,F,12,94618,Korean,Oakland Technical HS,72,English Only,4.14,Above,5
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,M,11,94608,Black or African American,Oakland Technical HS,424,English Only,1.90,Below,2
Not applicable,Affiliated,Oakland Tech - Health Academy AND Paideia,Oakland Tech - Health Academy,Paideia,Oakland Tech - Health Academy,Not applicable,M,12,94621,Hispanic or Latino,Oakland Technical HS,426,Redesignated (RFEP),2.17,Below,3
