SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,Filipino,Middle School Registration,3,English Only,4.00,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94608,Black or African American,Oakland Technical HS,474,English Only,1.36,Below,2
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94611,Hispanic or Latino,Oakland Technical HS,364,English Learner,2.50,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Hillcrest,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94619,Black or African American,Oakland Technical HS,501,English Only,0.89,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,Montera,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94601,Hispanic or Latino,Oakland Technical HS,360,Redesignated (RFEP),2.66,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,Hispanic or Latino,Westlake,285,Redesignated (RFEP),3.00,Above,3
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Black or African American,Middle School Registration,469,English Only,1.00,Below,1
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Other or Not Specified,Roosevelt,206,English Only,3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,Hispanic or Latino,United for Success,348,Redesignated (RFEP),2.50,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Montera,3,English Only,4.00,Above,4
